url,name,description
https://movie.douban.com/subject/2367243/,独奏者,史蒂夫·洛佩兹（小罗伯特·唐尼 Robert Downey Jr. 饰）是一名洛杉矶时报的记者，最近因为一次骑行意外而住进了医院。在病床上，他经常听见附近传来优美的小提琴声，从而结实了天才小提琴手纳萨尼尔·埃尔斯（杰米·福克斯 Jamie Foxx 饰），渐渐地他发现，埃 尔斯原来曾进修于声名显赫的茱莉亚音乐学院，然而却因精神分裂症而辍学，如今只能流落街头卖艺为生。洛佩兹决意将埃尔斯的故事写成专栏，为此他开始留意埃尔斯的一举一动，在相互了解的过程中，两人渐渐建立了深厚友谊，洛佩兹为了帮助埃尔斯完成音乐梦想甚至抛家弃业，然而埃尔斯的精神疾病却始终是两人之间的羁绊……?　　本片根据史蒂夫·洛佩兹发表在报纸上的文章进行改编
https://movie.douban.com/subject/1291853/,英国病人,一架英国飞机在飞越撒哈拉沙漠时被德军击落，机师由于受伤，想不起自己是谁，因此被叫做“英国病人”。汉娜是战地医院的一名护士，她决定独身留下来照顾那个英国病人。他们停留的地方是意大利的一个废弃的修道院，远离战争的喧嚣，显得宁静而闲逸，“英国病人”静静的躺在房间的木床上，窗头的一本旧书渐渐唤起了他的思绪…一段爱情，在战火中燃烧，逾越了道德，改变了战局。考古学家艾马殊伯爵（拉尔夫?费因斯 Ralph Fiennes 饰）跟随探险家来到撒哈拉沙漠考察，结识了绘制地图的飞机师杰佛和他妻子凯瑟琳（克里斯汀?斯科特?托马斯 Kristin Scott Thomas 饰）。凯 瑟琳的才气和美丽让艾马殊深深着迷，两人在沙漠一个幽深洞穴参观壁画时，更加发现彼此志趣相投。 道德最终战胜了激情。凯瑟琳和艾马殊分手后，杰弗发现了妻子的外遇。伤心的杰弗开着飞机企图与妻子和艾马殊同归于尽，艾马殊幸运躲过一劫，却造成凯瑟琳身受重伤、自己命丧黄泉。艾马殊赶到深爱的人身边，把她安置到山洞里，承诺一定会走出沙漠，找到援助。但是，事情却不像想象中容易。他为了救人，担当了卖国罪名，惹来了杀身之祸，最终他没有违背诺言，可是，嘉芙莲已在寒冷中永远地离开了他……艾马殊将嘉芙莲的遗体放上飞机，在飞越撒哈拉沙漠时被德军击落，于是发生了影片开头的一幕。 在照顾“英国病人”的日子里，汉娜结识了印度籍的拆弹手基普，两人互生情愫。即使战争已然结束，但拆弹手基普必然仍要无数次面对死亡最终，应英国病人的要求，汉娜给他注射了大剂量的吗啡
https://movie.douban.com/subject/2028677/,雨果,　小男孩雨果（阿沙·巴特菲尔德 Asa Butterfield 饰）天生机械控。他寄宿巴黎火车站钟楼，偶尔会去玩具店偷些零件，用来修补父亲（裘德·洛 Jude Law 饰）留下的机器人。一次行窃，他被店主乔治?梅里埃（本·金斯利 Ben Kingsley 饰）当场抓获，因 忌惮带猎狗的巡警（萨莎·拜伦·科恩 Sacha Baron Cohen 饰）只得就范。乔治拿走了雨果父亲的遗物——一本机械手册，令他心急如焚，他尾随至乔治家中，结识了养女伊莎贝拉（科洛·莫瑞兹 Chlo? Moretz 饰），他恳求她帮自己保住手册。而伊莎贝拉则觉得此事蹊跷，于是两人结伴探秘。修好的机器人作画的落款却显示乔治的名字，让他们疑心顿起。终于他们发现了乔治家中装满画作的神秘柜子，并在图书馆的电影书籍中发现了乔治的身世。一位知情人的显身，让他们的奇幻冒险更添神秘……?　　本片根据布莱恩?瑟兹尼克的同名小说改编，是马丁?斯科塞斯的首部3D力作
https://movie.douban.com/subject/4206436/,战马,1914年，在德文郡小镇，男孩艾伯特（杰瑞米·艾文 Jeremy Irvine 饰）目睹了幼驹乔伊的诞生。在集市上，它被频繁叫价，最终被艾伯特的父亲泰德（彼得·穆兰 Peter Mullan 饰）用30几尼的天价收入囊中，跛脚的他也因此得罪了地主。艾尔伯特与乔伊尽情 嬉戏，与朋友分享。然而，好景不长，地主登门拜访，称如果乔伊不能犁地将立刻将其带走，于是泰德赌上了全部家当。于是，艾伯特在逼迫之下，为乔伊套上了鞍蹬，强迫它犁地，甚至还使用了皮鞭，却不能让它屈服就范。为了还债，泰德亲自上阵犁地，功夫不负有心人，辛苦换来了收成，但是一场大雨毁了一切。德军来袭，父亲被迫将马变卖给骑兵军，换了30几尼。艾尔伯特虽然难以割舍也只能含泪送别乔伊踏上了前途未卜的战场。战争中，乔伊的主人不停在变，从英国上尉，法国老农与孙女，到德国骑兵，然而它真正等待的是艾尔伯特，他们能够重逢吗
https://movie.douban.com/subject/1857099/,老无所依,美国德克萨斯州乡村，老牛仔Moss（乔什·布洛林 饰）在猎杀羚羊时发现几具尸体，几包海洛因和200万现金。Moss决定将毒品和现金占为己有，想以此改变自己的生活，谁知却遭到冷血杀手Chigurh（哈维尔·巴登 饰）的跟踪和追杀，陷入了逃亡的险境。?　　同时，当地治安官Bell（汤米·李·琼斯 饰）也在对一连串的杀人事件进行调查，并努力保护Moss的安全。但是，让Bell感到无力绝望的是，他使尽浑身解数也无法追踪到冷血杀手，Moss的生命安全也受到严重的威胁，Bell一边缅怀父辈们的光荣岁月，一边深感现实中老无所依的悲哀。
https://movie.douban.com/subject/3364223/,了不起的盖茨比,1922年的春天，作家尼克(托比?马奎尔 Tobey Maguire 饰)满怀希望离开家乡，随淘金热潮来到纽约这个新兴的城市，虽然这里爵士乐流行，股票飞涨，但是贫富两极分化，人们沉沦在纸醉金迷中。尼克为了追寻美国梦，放弃写作而进入证券市场，并搬入纽约附近的海湾居住，成为了神秘富豪盖茨比（莱昂纳多?迪卡普里奥 Leonardo DiCaprio 饰）的邻居。而海湾的对岸住着尼克的表妹黛西（凯瑞?穆里根 Carey Mulligan 饰）和她的贵族丈夫汤姆（乔尔?埃哲顿 Joel Edgerton 饰），尼克不仅被邀请去赴宴，之后汤姆还带着他去找情妇寻欢，尼克渐渐迷失在这个充满魅力，以及富豪编制的假象、爱与谎言的世界中。但是只有盖茨比最特别，他是唯一让尼克感到在这个迷失城市里充满希望的人。尼克被邀请参加了盖茨比豪宅中的盛宴，还发现盖茨比心中的秘密，原来他一直深爱着黛西，即使她没等到他战后归来，转而嫁给富豪汤姆，盖茨比一直深信他们的爱情矢志不渝。尼克作为盖茨比与黛西爱情的见证者，终于在盖茨比被谋杀之后，看清了这个上流社会的虚情寡义，决心远离喧嚣、冷漠、虚假的大都市，黯然回到故乡
https://movie.douban.com/subject/1766827/,我曾侍候过英国国王?,坐监多年的扬?迪特（奥德里奇?凯瑟饰）大赦获释，他被“放逐”到捷克北部边境森林里修一条看上去永远修不完的道路。回想年轻时候，迪特感慨万千，那时的自己（伊万?巴尼弗饰）只是个年轻的饭店服务生，却立志要成为百万富豪。小个子的他精通服务之道，同时不忘追逐金钱和女人。他先后到过生活奢靡的天堂艳楼，布拉格最气派豪华的巴黎饭店。在那里，饭店领班告诉迪特，他之所以精通各项待客之道，是因为曾侍候过英国国王，第二次世界大战前后的捷克情势变化莫测，迪特遇见了同是小个子的德国姑娘丽莎（朱丽娅?耶特斯饰）并遇到许多困难，但他依然坚定不移地朝着立下的目标努力
https://movie.douban.com/subject/1306213/,初恋的回忆,杰米（曼迪·摩尔 Mandy Moore 饰）是一个学习优秀长相平凡的女生，身为牧师女儿的她信仰坚定，不为人所影响。兰顿（夏恩·韦斯特 Shane West饰）是典型的坏学生，不爱学习，吊儿郎当，瞧不起另类清高的杰米。?　　因为一个过火的恶作剧，兰顿被罚到附属学校去做家教，并且要在一个舞台剧中扮演谦卑角色，而剧中的女主角正是他甚无好感的杰米。杰米对排练的投入渐渐感染了初到剧团的兰顿，兰顿开始投入角色，并对杰米有了改观。然而自信的杰米竟要兰顿立下约誓言，要他一定不能爱上自己。　　排练的日子相处磨合，男生女生间的感情还是悄悄滋长了。然而杰米却无法接受这个事实。面前这个不思进取的坏学生，怎么可能成为自己的恋人
https://movie.douban.com/subject/3008247/,穿条纹睡衣的男孩?,八岁男孩布鲁诺（Asa Butterfield 饰）一家随着纳粹军官父亲的一纸调令，由柏林搬迁到了乡下。失去了朋友们的布鲁诺很快对新家附近的“农庄”产生了兴趣，那里有一群身穿“条纹睡衣”的人终日忙碌，并且其中一个为布鲁诺一家服务，他形容肮脏，态度慎微。周遭环境和布鲁诺的举止让母亲暗暗担忧，但纳粹父亲制止家中任何怀疑既定政策的行为。布鲁诺偷偷结识了铁丝网另一边的同龄男孩施穆尔，并时常带给他食物吃。在紧张的家庭氛围和姐姐向成人世界的变化中，施穆尔是布鲁诺惟一的朋友。某日布鲁诺决定，去铁丝网的另一边，以便见到施穆尔的父亲 本片根据约翰·伯恩的同名小说改编，获2008年芝加哥国际电影节观众票选奖
https://movie.douban.com/subject/3230121/,最后一支歌,根据畅销小说家尼古拉斯·斯帕克斯的同名小说改编的。?　父母的离婚让17岁的维罗妮卡（麦莉·赛勒斯 Miley Cyrus 饰）始终不能释怀。她曾是远近闻名的钢琴神童，可在父亲搬到泰碧岛上生活之后，就拒绝弹钢琴，并且不再和父亲说话。为化解父女之间的矛盾，母亲带着她一起到岛上和父亲共度夏天。父亲史蒂夫（格雷戈·金尼尔 Greg Kinnear 饰）是一位钢琴教师，在海岸的小镇上过着平静的生活，为当地教堂创作音乐。刚到达泰碧岛的时候，维罗妮卡对一切都充满了恐惧和敌意，连父女二人都无法有很好的交流。而在当地极受欢迎的帅哥维尔布雷克里（利亚姆·海姆斯沃斯 Liam Hemsworth 饰）也吃了闭门羹。不过在一起看护海龟巢穴之后，维罗妮卡改变了自己的敌对态度，这两个年轻人也开始慢慢坠入爱河。渐渐解开自己心结的维罗妮卡开始尝试着用钢琴和音乐来和自己的父亲沟通，而她不知道的是，史蒂夫这个时候已经罹患了不治之症
